method,time_S_BA,time_nDTW,freq_MSC_mean,freq_Delta_f_peak_Hz,nl_XSampEn,nl_PLV,BA_bias,BA_sd,BA_loa_width,S_time,S_freq,S_nl,TDSI,mm_z_mean,mm_z_std,ecg_z_mean,ecg_z_std,f0_Hz,file_index,mmwave_file,ecg_file
帶通,0.6212381652257559,0.26645653582830736,0.22009150988587978,0.30378906250000015,1.3558442808873314,0.12522369913436546,-5.3264073145434795e-18,1.4168511797539307,5.554056624635408,0.693663732832612,0.13401370379737682,0.27484998604183736,0.36750914089060877,7.656710514656252e-18,1.0,-1.3316018286358699e-17,1.0,1.5189453124999999,4,004.csv,004.csv
小波去噪,0.6225685178867073,0.30236081449609364,0.1841884544923485,0.30378906250000015,1.3991723162253769,0.17265928180675516,-1.5313421029312504e-17,1.4059378951165487,5.511276548856871,0.6808199335026326,0.11606217610061118,0.2947348465730775,0.36387231872544046,-1.3316018286358699e-17,0.9999999999999998,-1.3316018286358699e-17,1.0,1.5189453124999999,4,004.csv,004.csv
NLMS,0.6268408055122282,0.2633584670770928,0.25995662818568005,0.3471875,1.4534626524056242,0.2163330315926276,3.9948054859076094e-18,1.3716752981554632,5.376967168769416,0.6976535917738328,0.14550768453899335,0.3119601213397889,0.38504046588420504,3.3290045715896748e-18,1.0,-1.3316018286358699e-17,1.0,1.5189453124999999,4,004.csv,004.csv
帶通+小波,0.6211677381394682,0.27549121691273953,0.25652019704809,0.30378906250000015,1.3803959521653337,0.1191458318197797,-1.1318615543404894e-17,1.4174322471891003,5.556334408981273,0.6901834191580895,0.15222804737848192,0.2696220044008922,0.3706778236458212,-2.263723108680979e-17,1.0,-1.3316018286358699e-17,1.0,1.5189453124999999,4,004.csv,004.csv
帶通+小波+NLMS,0.6208334142740708,0.2699189730224841,0.5550528547322592,0.17359375,1.401904434190969,0.20523658302205675,-1.3316018286358699e-17,1.420195242941417,5.567165352330355,0.6921373827250251,0.36564387866311543,0.3107864404525638,0.4561892339469014,-1.9974027429538047e-18,0.9999999999999998,-1.3316018286358699e-17,1.0,1.5189453124999999,4,004.csv,004.csv
原始波形,0.62401666197485,0.2825176571072907,0.30660948966694546,0.13019531250000016,1.623698403653257,0.12605124482200986,-1.1318615543404894e-17,1.3941921710791787,5.4652333106303805,0.6889499962088997,0.28930475675878803,0.25359630664201116,0.41061701986989957,1.872565071519192e-18,1.0,4.2611258516347836e-17,0.9999999999999999,1.4321484375,5,005.csv,005.csv
帶通,0.6244498885937473,0.2983683599673693,0.2876111863892876,0.13019531250000016,1.6107274032639718,0.13327086433639176,-1.2317316914881797e-17,1.3907049647978442,5.451563462007549,0.6832389222995692,0.2798056051199591,0.25815293773959036,0.40706582171970623,6.9076844860485755e-18,0.9999999999999999,4.2611258516347836e-17,0.9999999999999999,1.4321484375,5,005.csv,005.csv
小波去噪,0.6240231275838082,0.28318221868965354,0.30743058065171824,0.13019531250000016,1.6162824045779922,0.12528430243221877,-1.731082377226631e-17,1.3941400374358532,5.465028946748545,0.6887028112820989,0.2897153022511744,0.2537530187299129,0.41072371075439534,-2.488430917263282e-17,1.0,4.2611258516347836e-17,0.9999999999999999,1.4321484375,5,005.csv,005.csv
NLMS,0.62955795605767,0.2755231085652485,0.2544852587643242,0.30378906249999993,1.5467048422956553,0.23492201221747416,-1.864242560090218e-17,1.350479780272605,5.293880738668611,0.6943664222532854,0.15121057823659909,0.31379314153959015,0.3864567140098249,1.3316018286358699e-18,0.9999999999999999,4.2611258516347836e-17,0.9999999999999999,1.4321484375,5,005.csv,005.csv
帶通+小波,0.6244425761339378,0.29856673905225495,0.3114524633466913,0.13019531250000016,1.6011719593213936,0.13436630186500648,-1.3316018286358699e-17,1.3907637247913984,5.451793801182282,0.6831616719562363,0.29172624359866095,0.2594041989136765,0.4114307048228579,4.4941561716460606e-18,0.9999999999999998,4.2611258516347836e-17,0.9999999999999999,1.4321484375,5,005.csv,005.csv
帶通+小波+NLMS,0.6366258318666633,0.280902108463504,0.571114002854026,0.30378906249999993,1.617602203191081,0.2342467973546133,-8.655411886133154e-18,1.2973620632584746,5.08565928797322,0.6958640409242363,0.30952495028145,0.30813790783017075,0.43784229967861904,-5.3264073145434795e-18,0.9999999999999999,4.2611258516347836e-17,0.9999999999999999,1.4321484375,5,005.csv,005.csv
原始波形,0.6166210427654744,0.2806283789949119,0.27071518460723804,0.08679687499999988,1.655579068431955,0.08576290404198707,7.989610971815219e-18,1.4556783711017505,5.7062592147188615,0.6859650073882844,0.34525929703345914,0.23116430375142083,0.4207962027243881,-2.929524022998914e-17,1.0,2.5300434744081527e-17,1.0,1.4321484375,6,006.csv,006.csv
帶通,0.6176036200177899,0.26421674135457396,0.27564303098654735,0.08679687499999988,1.4993860222132451,0.10102769893673849,-1.198441645772283e-17,1.4472882809672352,5.673370061391561,0.6927053630432031,0.34772322022311386,0.2505629797572721,0.430330521007863,7.323810057497285e-18,1.0,2.5300434744081527e-17,1.0,1.4321484375,6,006.csv,006.csv
小波去噪,0.6173129090503982,0.2896632322491214,0.2654749099432815,0.39058593750000004,1.9605803388031064,0.05331703381430824,-2.6632036572717397e-18,1.4497632972374461,5.6830721251707885,0.6829142550518362,0.1427992816184886,0.19554432400608876,0.34041928689213785,-1.5979221943630438e-17,1.0,2.5300434744081527e-17,1.0,1.4321484375,6,006.csv,006.csv
NLMS,0.61512900245096,0.26519244803634223,0.24810429286221775,0.0867968750000001,1.6265694999185503,0.34598175799611613,7.989610971815219e-18,1.468554838318931,5.756734966210209,0.6910936596772879,0.33395385116094856,0.36335325091150067,0.46280025391657903,-1.864242560090218e-17,1.0,2.5300434744081527e-17,1.0,1.4321484375,6,006.csv,006.csv
帶通+小波,0.6186972335691191,0.2716563522713514,0.3078517653631506,0.08679687499999988,1.5554292374593242,0.0021388694361090853,1.198441645772283e-17,1.4380321031512935,5.63708584435307,0.6904066745678064,0.36382758741141547,0.19673127996527934,0.4169885139815004,-1.198441645772283e-17,0.9999999999999999,2.5300434744081527e-17,1.0,1.4321484375,6,006.csv,006.csv
帶通+小波+NLMS,0.6225361194111269,0.2868522027312477,0.6407971566605235,0.0867968750000001,1.6076972679563162,0.26853606886838516,5.3264073145434795e-18,1.4062022595620876,5.5123128574833835,0.6865793900146944,0.5303002830601015,0.32600808269211634,0.5142959185889707,-1.6645022857948375e-17,1.0,2.5300434744081527e-17,1.0,1.4321484375,6,006.csv,006.csv
原始波形,0.6195382359692567,0.2635449095524389,0.18773923098692388,0.0867968750000001,1.6468447994068656,0.17652550005865478,2.5300434744081527e-17,1.4309718119589856,5.609409502879223,0.6939306762931874,0.30377132022330167,0.27716691249176023,0.4249563030027497,1.0652814629086959e-17,1.0,-1.198441645772283e-17,1.0,1.4321484375,7,007.csv,007.csv
帶通,0.622438744803579,0.25693216440426614,0.2002806912561766,0.0867968750000001,1.5431304186080945,0.18404167453535886,4.0613855773394034e-17,1.4069972359200773,5.515429164806703,0.6979297111209812,0.310042050357928,0.28862892167479365,0.43220022771790095,6.325108686020382e-18,1.0,-1.198441645772283e-17,1.0,1.4321484375,7,007.csv,007.csv
小波去噪,0.6224252251299781,0.26484533102443536,0.22386938482941585,0.0,1.980798095777952,0.12171798333348785,4.4941561716460606e-18,1.4071076619138911,5.515862034702453,0.6948749236206879,0.6119346924147079,0.22859930279623897,0.5118029729438783,-2.1305629258173918e-17,1.0,-1.198441645772283e-17,1.0,1.4321484375,7,007.csv,007.csv
NLMS,0.6227439805708931,0.25089718785256176,0.20989570854628475,0.0867968750000001,1.5684618296209483,0.19186241069838522,1.198441645772283e-17,1.404507371068967,5.505668894590351,0.7004231731963729,0.31484955900298206,0.29060024587520644,0.43529099269152044,7.323810057497285e-18,0.9999999999999999,-1.198441645772283e-17,1.0,1.4321484375,7,007.csv,007.csv
帶通+小波,0.6228430371386381,0.2680367136329305,0.24521847298314975,0.0867968750000001,1.5903039578475562,0.14227937883390449,3.2624244801578815e-17,1.4037006788094115,5.502506660932893,0.6938613681067504,0.33251094122141456,0.2641672290943733,0.4301798461408461,-2.6632036572717397e-18,0.9999999999999999,-1.198441645772283e-17,1.0,1.4321484375,7,007.csv,007.csv
帶通+小波+NLMS,0.6240665475606642,0.2560052316839722,0.5187937061698507,0.0,1.5541976772796369,0.25040452764102045,9.987013714769025e-18,1.3937900028987529,5.463656811363111,0.6991022331486882,0.7593968530849253,0.3209584515453882,0.5931525125930006,-2.3303032001127723e-17,1.0,-1.198441645772283e-17,1.0,1.4321484375,7,007.csv,007.csv
原始波形,0.6189106441649947,0.26674961024415694,0.31221201462824477,0.4773828124999999,1.5848768701353464,0.06110370801360049,5.3264073145434795e-18,1.436235776739083,5.6300442448172054,0.69238772816387,0.16032999644586138,0.22398466536304082,0.3589007966575907,-2.263723108680979e-17,1.0,-1.0652814629086959e-17,1.0,1.5189453124999999,8,008.csv,008.csv
帶通,0.6181617973863112,0.25485552406231593,0.30915287472671993,0.17359375,1.5997392298171185,0.07255226901762442,1.864242560090218e-17,1.4425532488530888,5.654808735504108,0.6965951301114912,0.24269388866034577,0.2286031164866058,0.3892973784194809,-1.0652814629086959e-17,1.0,-1.0652814629086959e-17,1.0,1.5189453124999999,8,008.csv,008.csv
小波去噪,0.6103494243156309,0.2787769605345878,0.42347901019227796,0.4773828124999999,1.6876852874889623,0.21323372820599149,6.6580091431793495e-18,1.5109561826281077,5.922948235902182,0.6835290423026493,0.21596349422787797,0.29265054979062977,0.397381028773719,1.198441645772283e-17,1.0,-1.0652814629086959e-17,1.0,1.5189453124999999,8,008.csv,008.csv
